,symbol,price
0,ETHBTC,0.06733700
1,LTCBTC,0.00231400
2,BNBBTC,0.01031200
3,NEOBTC,0.00034700
4,QTUMETH,0.00195100
5,EOSETH,0.00064600
6,SNTETH,0.00001640
7,BNTETH,0.00068400
8,BCCBTC,0.07908100
9,GASBTC,0.00008120
10,BNBETH,0.15310000
11,BTCUSDT,30245.72000000
12,ETHUSDT,2036.77000000
13,HSRBTC,0.00041400
14,OAXETH,0.00017780
15,DNTETH,0.00002801
16,MCOETH,0.00577200
17,ICNETH,0.00166300
18,MCOBTC,0.00021140
19,WTCBTC,0.00000674
20,WTCETH,0.00023700
21,LRCBTC,0.00001636
22,LRCETH,0.00024337
23,QTUMBTC,0.00012990
24,YOYOBTC,0.00000008
25,OMGBTC,0.00008170
26,OMGETH,0.00121100
27,ZRXBTC,0.00001518
28,ZRXETH,0.00022490
29,STRATBTC,0.00003085
30,STRATETH,0.00105300
31,SNGLSBTC,0.00000013
32,SNGLSETH,0.00005306
33,BQXBTC,0.00008703
34,BQXETH,0.00126350
35,KNCBTC,0.00008994
36,KNCETH,0.00134070
37,FUNBTC,0.00000029
38,FUNETH,0.00000446
39,SNMBTC,0.00000184
40,SNMETH,0.00004986
41,NEOETH,0.00516000
42,IOTABTC,0.00001104
43,IOTAETH,0.00016400
44,LINKBTC,0.00023770
45,LINKETH,0.00353100
46,XVGBTC,0.00000017
47,XVGETH,0.00000259
48,SALTBTC,0.00004250
49,SALTETH,0.00113800
50,MDABTC,0.00000517
51,MDAETH,0.00181150
52,MTLBTC,0.00004611
53,MTLETH,0.00068230
54,SUBBTC,0.00000457
55,SUBETH,0.00012334
56,EOSBTC,0.00004350
57,SNTBTC,0.00000110
58,ETCETH,0.01024000
59,ETCBTC,0.00068900
60,MTHBTC,0.00000023
61,MTHETH,0.00004135
62,ENGBTC,0.00006200
63,ENGETH,0.00186480
64,DNTBTC,0.00000187
65,ZECBTC,0.00352600
66,ZECETH,0.05235000
67,BNTBTC,0.00004602
68,ASTBTC,0.00000295
69,ASTETH,0.00006960
70,DASHBTC,0.00194300
71,DASHETH,0.02884000
72,OAXBTC,0.00000144
73,ICNBTC,0.00005742
74,BTGBTC,0.00061800
75,BTGETH,0.05274500
76,EVXBTC,0.00000274
77,EVXETH,0.00062490
78,REQBTC,0.00000374
79,REQETH,0.00004995
80,VIBBTC,0.00000051
81,VIBETH,0.00000758
82,HSRETH,0.01247400
83,TRXBTC,0.00000244
84,TRXETH,0.00003620
85,POWRBTC,0.00000844
86,POWRETH,0.00012460
87,ARKBTC,0.00001577
88,ARKETH,0.00104600
89,YOYOETH,0.00005828
90,XRPBTC,0.00001398
91,XRPETH,0.00020750
92,MODBTC,0.00004280
93,MODETH,0.00116700
94,ENJBTC,0.00002291
95,ENJETH,0.00034040
96,STORJBTC,0.00001854
